id,First_Date,Last_Date,Year,Month,DayOfWeek,IsWeekend,Season,Quarter,Title,Artists,Chart_Weeks,Chart_Longevity_Days,Best_Rank,Days_In_Charts,Weeks_Per_Day_Ratio,Quick_Peak_Score,Sustained_Presence,Brief_Appearance,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Temporal_Cluster,Temporal_Cluster_Name
0B9D5rzkRgtuAVy4hQ84bD,2022-11-04,2022-11-06,2022,11,6,1,Fall,4,BLAHBLAHBLAH DEMO,Joji,3,2,98,2,1.0,25.75,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BBaLX0AEwUCmsJyI5eJ6U,2022-10-14,2022-10-14,2022,10,4,0,Fall,4,Perfect Timing,Lil Baby,1,0,132,0,1.0,34.5,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BGwAKW4u8kWOhWFflZxfl,2021-05-28,2021-09-09,2021,9,3,0,Fall,3,Astrout In The Ocean,Masked Wolf,104,104,12,104,0.9904761904761905,1.8,1,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BJMgVrnWIvgYsjq8KaPeh,2021-11-12,2021-11-12,2021,11,4,0,Fall,4,SCIENTIST,TWICE,1,0,181,0,1.0,10.0,0,1,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BSPhsCKfwENstErymcD80,2018-06-16,2018-06-18,2018,6,0,0,Summer,2,Adam and Eve,"Nas, The-Dream",6,2,119,2,2.0,11.714285714285714,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,False,False,True,False,5,Early Era (2017-2018) - Summer
0BSd5u6lQJWDoNVMuBYBiA,2017-05-12,2017-05-14,2017,5,6,1,Spring,2,At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,3,2,137,2,1.0,16.0,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,False,True,False,False,1,Spring - Friday Fresh
0BU7nIcCZxYSE0hYcc5oZz,2017-01-31,2017-01-31,2017,1,1,0,Winter,1,Too Many Years,"Kodak Black, PnB Rock",2,0,198,0,2.0,1.0,0,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,False,False,False,True,2,Viral/Quick Peak - Winter
0Be7sopyKMv8Y8npsUkax2,2021-11-17,2022-01-27,2022,1,3,0,Winter,1,Tacones Rojos,Sebastian Yatra,72,71,52,71,1.0,2.041095890410959,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,False,False,False,True,2,Viral/Quick Peak - Winter
0BeXxjO6mgLDzg4xA6UheO,2021-09-10,2021-09-10,2021,9,4,0,Fall,3,Blu Celeste,BLANCO,1,0,177,0,1.0,12.0,0,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BiK5BbYNFLb88CCOxBFJe,2021-06-25,2021-07-03,2021,7,5,1,Summer,3,LUMBERJACK,"Tyler, The Creator",9,8,19,8,1.0,18.2,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,False,True,False,5,Early Era (2017-2018) - Summer
0BiqmkasE5FdrChwKfVp8X,2022-10-21,2022-10-21,2022,10,4,0,Fall,4,Bigger Than The Whole Sky,Taylor Swift,1,0,23,0,1.0,89.0,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0BjfodYJYki5xbxHJZe0Cf,2021-02-12,2021-02-12,2021,2,4,0,Winter,1,Big (feat. Gun),"Rita Ora, David Guetta, Imanbek",3,0,96,0,3.0,26.25,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,False,True,2,Viral/Quick Peak - Winter
0BlY60NrN0fFWbdW3RW40q,2017-12-07,2017-12-10,2017,12,6,1,Winter,4,Never Be the Same - Radio Edit,Camila Cabello,4,3,42,3,1.0,31.8,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,False,False,False,True,2,Viral/Quick Peak - Winter
0BnTBAGmr9FtYwkZrwKhwS,2019-05-17,2019-06-17,2019,6,0,0,Summer,2,Just Us (feat. SZA),DJ Khaled,32,31,57,31,1.0,4.363636363636363,1,0,1.2246467991473532e-16,-1.0,0.0,1.0,False,False,True,False,5,Early Era (2017-2018) - Summer
0BpYTh0O2ut5wvt0QtDGt4,2019-11-15,2019-11-15,2019,11,4,0,Fall,4,Beauty In The Benz (feat. Snoop Dogg),Tory Lanez,1,0,101,0,1.0,50.0,0,1,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
