Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate
AP Dhillon,74,103.20270270270271,52,2022-01-11,2022-03-27,75,0.0,0.0
ARIZONATEARS,16,171.625,152,2023-05-01,2023-05-18,17,0.0,0.0
ATB,241,69.23236514522821,24,2021-01-29,2021-12-31,336,139.0,0.5767634854771784
AURORA,202,95.51485148514851,16,2019-11-23,2021-08-17,633,47.0,0.23267326732673269
AVA,1,198.0,198,2020-06-05,2020-06-05,0,0.0,0.0
AX'EL,98,109.11224489795919,40,2021-12-21,2022-04-02,102,9.0,0.09183673469387756
AYLIVA,15,153.93333333333334,125,2023-01-09,2023-01-24,15,0.0,0.0
Aaliyah,1,167.0,167,2021-12-17,2021-12-17,0,0.0,0.0
Aaron Carter,64,129.578125,94,2017-02-03,2017-04-08,64,0.0,0.0
Aaron Smith,139,158.71942446043167,98,2019-03-02,2019-08-12,163,0.0,0.0
Aazar,1,160.0,160,2018-10-26,2018-10-26,0,0.0,0.0
Ab-Soul,12,153.41666666666666,78,2018-02-09,2018-02-20,11,0.0,0.0
Abhir Hathi,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
Abraham Mateo,130,151.98461538461538,120,2017-08-03,2018-01-13,163,0.0,0.0
Achille Lauro,20,159.4,117,2021-06-11,2021-07-03,22,0.0,0.0
Adassa,134,41.55223880597015,7,2021-12-26,2022-05-08,133,97.0,0.7238805970149254
Adele,1787,99.91326245103525,1,2017-01-01,2023-05-29,2339,405.0,0.22663682148852826
Adria Proenza,147,166.19727891156464,131,2019-11-10,2020-05-19,191,0.0,0.0
Adriano Rhod,6,191.0,174,2023-04-01,2023-05-27,56,0.0,0.0
Aerosmith,71,153.25352112676057,96,2022-11-07,2023-02-02,87,0.0,0.0
Afro Bros,121,118.94214876033058,75,2019-07-05,2019-11-06,124,0.0,0.0
Afrojack,89,141.58426966292134,81,2017-11-03,2021-04-30,1274,0.0,0.0
Agnes,24,97.625,17,2019-05-10,2019-06-06,27,3.0,0.125
AgroPlay,101,100.29702970297029,31,2023-02-17,2023-05-29,101,4.0,0.039603960396039604
Agust D,89,88.1685393258427,11,2020-05-22,2023-05-18,1091,23.0,0.25842696629213485
Aitana,325,107.58769230769231,30,2018-07-27,2023-04-10,1718,79.0,0.24307692307692308
Aitch,26,109.15384615384616,48,2022-09-23,2022-10-19,26,1.0,0.038461538461538464
Ak4:20,22,119.9090909090909,53,2022-03-31,2022-04-21,21,0.0,0.0
Akon,1,77.0,77,2020-09-04,2020-09-04,0,0.0,0.0
Alan Walker,1114,121.42998204667863,37,2017-01-01,2021-11-26,1790,82.0,0.07360861759425494
Aldair Playboy,12,182.66666666666666,154,2018-05-19,2018-06-17,29,0.0,0.0
Alec Benjamin,507,122.56213017751479,21,2018-06-25,2021-08-22,1154,83.0,0.16370808678500987
Alejandro Fernández,3,197.66666666666666,196,2017-02-28,2017-04-01,32,0.0,0.0
Alejo,114,115.10526315789474,50,2022-03-18,2022-07-22,126,1.0,0.008771929824561403
Alessandra,12,93.5,28,2023-05-13,2023-05-24,11,4.0,0.3333333333333333
Alessandra Amoroso,7,180.14285714285714,162,2020-06-27,2020-07-05,8,0.0,0.0
Alessia Cara,943,96.22057264050902,3,2017-01-01,2022-12-25,2184,323.0,0.3425238600212089
Alesso,136,136.08823529411765,50,2017-02-03,2022-09-23,2058,1.0,0.007352941176470588
Alex Aiono,69,159.231884057971,121,2017-05-12,2017-08-10,90,0.0,0.0
Alex Rose,352,147.22727272727272,97,2018-07-19,2021-07-12,1089,0.0,0.0
Alex Sensation,226,97.03539823008849,47,2017-08-26,2018-04-08,225,2.0,0.008849557522123894
Alexander 23,34,164.35294117647058,120,2020-05-24,2020-07-02,39,0.0,0.0
Alfonso Herrera,9,158.66666666666666,110,2020-09-04,2020-09-04,0,0.0,0.0
Ali Gatie,567,93.0352733686067,27,2019-06-14,2020-11-18,523,171.0,0.30158730158730157
Ali Sethi,103,150.39805825242718,89,2022-04-24,2022-08-21,119,0.0,0.0
Alicia Keys,24,113.33333333333333,28,2019-02-14,2022-07-08,1240,2.0,0.08333333333333333
Alico,64,164.078125,64,2020-11-22,2021-02-07,77,0.0,0.0
Almighty,236,142.59322033898306,68,2018-01-23,2019-11-17,663,0.0,0.0
Aloe Blacc,58,9.413793103448276,3,2019-04-10,2019-06-06,57,57.0,0.9827586206896551
Alok,279,104.87096774193549,26,2017-01-01,2021-06-13,1624,60.0,0.21505376344086022
Alonestar,1,185.0,185,2020-09-11,2020-09-11,0,0.0,0.0
Alonzo,5,168.6,155,2022-05-20,2022-05-25,5,0.0,0.0
Alvaro Diaz,61,153.4262295081967,110,2022-01-18,2022-03-19,60,0.0,0.0
Alvaro Soler,143,99.3986013986014,39,2018-05-09,2018-09-15,129,29.0,0.20279720279720279
Amaarae,115,85.13913043478261,18,2021-11-01,2022-02-24,115,30.0,0.2608695652173913
Amanda Reifer,50,98.88,4,2022-05-13,2022-07-01,49,14.0,0.28
Amanda Shires,2,165.5,147,2020-09-18,2020-10-23,35,0.0,0.0
Amezzy,172,125.96511627906976,55,2019-02-16,2021-05-20,824,0.0,0.0
Aminé,208,117.70192307692308,41,2017-01-01,2020-08-07,1314,33.0,0.15865384615384615
Amitabh Bhattacharya,152,103.63815789473684,24,2022-07-17,2023-01-22,189,24.0,0.15789473684210525
Amitabha Bhattacharya,3,142.66666666666666,123,2023-05-27,2023-05-29,2,0.0,0.0
Amy Grant,5,119.2,52,2021-12-11,2021-12-24,13,0.0,0.0
Ana Castela,51,123.05882352941177,50,2022-11-12,2023-05-29,198,1.0,0.0196078431372549
Ana Mena,3,195.66666666666666,190,2020-08-01,2020-08-09,8,0.0,0.0
Anahí,9,158.66666666666666,110,2020-09-04,2020-09-04,0,0.0,0.0
Analaga,5,189.0,181,2019-06-29,2019-08-17,49,0.0,0.0
Anderson .Paak,624,69.26442307692308,4,2018-10-05,2022-12-31,1548,243.0,0.3894230769230769
Andrew Andraos,1,183.0,183,2020-12-18,2020-12-18,0,0.0,0.0
Andrew Gold,2,50.0,48,2021-10-31,2022-10-31,365,1.0,0.5
André Nine,4,183.0,159,2021-08-14,2021-08-28,14,0.0,0.0
Andy Grammer,81,140.2469135802469,97,2017-01-01,2019-05-15,864,0.0,0.0
Andy Williams,233,55.708154506437765,6,2017-11-24,2022-12-27,1859,142.0,0.6094420600858369
Angel Dior,2,149.0,117,2023-02-24,2023-02-25,1,0.0,0.0
Anggi Marito,30,107.3,56,2023-04-30,2023-05-29,29,0.0,0.0
Angèle,55,137.34545454545454,49,2020-10-30,2021-12-03,399,1.0,0.01818181818181818
Animus,5,133.2,57,2019-09-20,2019-09-24,4,0.0,0.0
Anirudh Ravichander,6,160.0,126,2022-02-15,2022-02-20,5,0.0,0.0
Anita Kerr Singers,23,117.95652173913044,59,2017-11-25,2017-12-17,22,0.0,0.0
Anitta,1234,111.23824959481361,1,2017-05-19,2023-02-19,2102,240.0,0.19448946515397084
Anne-Marie,1445,98.32249134948097,3,2017-01-01,2023-05-29,2339,356.0,0.24636678200692042
AnnenMayKantereit,59,107.83050847457628,57,2022-03-14,2022-05-12,59,0.0,0.0
Annie Lennox,6,146.33333333333334,85,2017-12-31,2022-10-31,1765,0.0,0.0
Ansel Elgort,5,154.2,86,2017-05-05,2017-05-09,4,0.0,0.0
Ant Clemons,20,65.75,11,2019-10-25,2019-11-05,11,11.0,0.55
Ant Saunders,101,82.36633663366337,43,2019-11-07,2020-02-16,101,16.0,0.15841584158415842
Anuel AA,5541,98.57949828550804,2,2017-01-25,2023-05-15,2301,1168.0,0.21079227576249773
Apache 207,364,127.4010989010989,26,2019-08-23,2023-02-06,1263,7.0,0.019230769230769232
Arcangel,739,103.2530446549391,19,2017-04-07,2020-10-17,1289,130.0,0.17591339648173207
Arctic Monkeys,2034,121.79498525073747,17,2018-05-11,2023-05-29,1844,291.0,0.1430678466076696
Arcángel,293,72.15699658703072,6,2021-12-28,2023-05-29,517,146.0,0.49829351535836175
Aretha Franklin,15,108.0,45,2017-12-31,2018-08-18,230,2.0,0.13333333333333333
Arevi,10,139.1,107,2018-10-29,2018-11-07,9,0.0,0.0
Ari Lennox,1,176.0,176,2019-07-27,2019-07-27,0,0.0,0.0
Ariana Grande,6499,88.40944760732421,1,2017-01-01,2023-05-29,2339,2125.0,0.32697338052008
Arijit Singh,172,108.94767441860465,24,2022-07-17,2023-05-29,316,24.0,0.13953488372093023
Arizo Zervas,529,75.97542533081285,2,2019-10-28,2021-03-14,503,239.0,0.45179584120982985
ArizonaTears,76,93.44736842105263,42,2023-02-13,2023-04-30,76,9.0,0.11842105263157894
Armani White,85,111.12941176470588,65,2022-08-24,2022-12-31,129,0.0,0.0
Armin van Buuren,57,145.2280701754386,104,2018-08-14,2018-10-20,67,0.0,0.0
Arrhult,7,169.42857142857142,131,2017-02-14,2017-02-20,6,0.0,0.0
Arthur Hanlon,4,135.0,112,2018-08-24,2018-08-27,3,0.0,0.0
Asees Kaur,57,118.87719298245614,60,2021-08-16,2021-10-17,62,0.0,0.0
Ashe,87,82.74712643678161,33,2020-02-20,2020-05-19,89,21.0,0.2413793103448276
Ashley O,46,91.52173913043478,41,2019-06-20,2019-08-04,45,5.0,0.10869565217391304
Ashnikko,211,111.20379146919431,44,2020-09-15,2021-06-08,266,11.0,0.052132701421800945
Astrid S,34,185.7941176470588,126,2017-03-10,2017-09-30,204,0.0,0.0
Atomic Otro Way,3,196.66666666666666,195,2021-09-16,2021-09-18,2,0.0,0.0
Au/Ra,97,109.58762886597938,63,2018-07-27,2018-11-01,97,0.0,0.0
Audioslave,5,143.2,84,2017-05-18,2017-05-19,1,0.0,0.0
Austyn Johnson,1,191.0,191,2018-01-08,2018-01-08,0,0.0,0.0
Ava Max,1841,94.07495926127105,5,2018-09-27,2022-12-31,1556,502.0,0.27267789244975554
Aventura,283,61.84805653710247,7,2019-04-05,2022-05-11,1132,116.0,0.4098939929328622
Avicii,2125,124.12564705882353,3,2017-08-11,2023-05-29,2117,402.0,0.1891764705882353
Avine Vinny,58,107.10344827586206,42,2021-10-07,2022-01-02,87,4.0,0.06896551724137931
Avril Lavigne,33,150.9090909090909,96,2018-09-21,2022-01-14,1211,0.0,0.0
Axwell /\ Ingrosso,578,107.39100346020761,14,2017-02-10,2018-12-31,689,162.0,0.28027681660899656
Aya kamura,191,96.31413612565446,33,2020-06-26,2020-11-26,153,58.0,0.3036649214659686
Ayo & Teo,156,141.34615384615384,87,2017-02-26,2017-08-20,175,0.0,0.0
Ayra Starr,22,185.3181818181818,145,2023-02-07,2023-03-02,23,0.0,0.0
Azet,6,167.66666666666666,134,2018-12-21,2020-10-30,679,0.0,0.0
B Praak,49,134.0,77,2021-08-17,2021-10-10,54,0.0,0.0
B-Case,110,144.05454545454546,93,2017-12-29,2018-04-19,111,0.0,0.0
B. Swanson Quartet,34,65.17647058823529,10,2021-12-21,2022-12-26,370,12.0,0.35294117647058826
BANDIDO,64,131.8125,98,2021-06-24,2021-08-26,63,0.0,0.0
BANNERS,180,163.23333333333332,114,2020-08-16,2021-03-30,226,0.0,0.0
BEAM,12,98.16666666666667,18,2022-07-29,2022-08-09,11,3.0,0.25
BENEE,230,53.91304347826087,10,2020-03-04,2020-10-15,225,151.0,0.6565217391304348
BIA,245,117.77142857142857,33,2017-01-01,2022-10-19,2117,27.0,0.11020408163265306
BIGBANG,8,103.875,21,2022-04-04,2022-04-11,7,2.0,0.25
BLACKPINK,1554,95.62741312741312,1,2018-06-15,2023-05-21,1801,483.0,0.3108108108108108
BLANCO,62,129.9516129032258,5,2021-06-18,2022-05-16,332,13.0,0.20967741935483872
BLOODY VINYL,1,143.0,143,2020-10-02,2020-10-02,0,0.0,0.0
BM,1,191.0,191,2023-04-22,2023-04-22,0,0.0,0.0
BRADO,3,165.0,146,2019-03-15,2019-11-09,239,0.0,0.0
BROCKHAMPTON,142,105.66901408450704,34,2018-09-21,2021-04-09,931,30.0,0.2112676056338028
BTS,3990,88.69172932330827,1,2017-02-12,2023-05-29,2297,1220.0,0.3057644110275689
BYOR,150,119.93333333333334,67,2022-05-25,2022-12-31,220,0.0,0.0
Baby Goth,1,165.0,165,2018-11-09,2018-11-09,0,0.0,0.0
Baby Keem,356,117.67134831460675,17,2021-04-30,2022-05-24,389,42.0,0.11797752808988764
Baby Rasta,122,93.23770491803279,42,2022-10-08,2023-02-11,126,6.0,0.04918032786885246
Baby Tate,20,126.4,55,2023-01-26,2023-02-19,24,0.0,0.0
Backstreet Boys,7,138.42857142857142,104,2018-12-23,2022-10-31,1408,0.0,0.0
Baco Exu do Blues,1,200.0,200,2023-04-14,2023-04-14,0,0.0,0.0
Bad Bunny,16624,79.52285851780559,1,2017-05-20,2023-05-29,2200,6345.0,0.381677093358999
Bad Gyal,2,163.5,132,2023-02-24,2023-02-25,1,0.0,0.0
Baddiel,5,103.2,33,2018-07-07,2021-07-11,1100,1.0,0.2
Bag Raiders,30,145.6,119,2017-02-19,2017-03-21,30,0.0,0.0
Bagua Records,104,78.16346153846153,26,2021-12-26,2022-04-21,116,40.0,0.38461538461538464
Bahari,15,190.0,175,2017-02-01,2017-03-01,28,0.0,0.0
Balming Tiger,3,130.33333333333334,99,2022-09-01,2022-09-03,2,0.0,0.0
Band Aid,192,62.6875,3,2017-11-25,2022-12-26,1857,91.0,0.4739583333333333
Band Aid 30,1,162.0,162,2018-12-24,2018-12-24,0,0.0,0.0
Banda MS de Sergio Lizárraga,12,102.58333333333333,54,2020-05-01,2020-05-12,11,0.0,0.0
Banx & Ranx,52,146.90384615384616,111,2018-04-21,2018-07-08,78,0.0,0.0
Barbara Pravi,6,89.66666666666667,44,2021-05-23,2021-05-28,5,1.0,0.16666666666666666
Barloe Team,6,189.83333333333334,174,2018-11-10,2019-08-22,285,0.0,0.0
Bas,6,150.16666666666666,78,2018-08-24,2021-07-13,1054,0.0,0.0
Bass Santa,3,169.0,130,2019-01-23,2019-01-23,0,0.0,0.0
Bastille,829,73.62726176115802,2,2017-11-10,2021-01-07,1154,350.0,0.4221954161640531
Bausa,89,138.73033707865167,66,2017-10-11,2021-03-05,1241,0.0,0.0
Bazzi,1128,104.36081560283688,3,2018-01-21,2020-04-08,808,242.0,0.21453900709219859
Bea Miller,51,139.19607843137254,54,2020-08-25,2020-11-07,74,0.0,0.0
Beach Bunny,62,128.61290322580646,73,2021-03-28,2021-06-07,71,0.0,0.0
Beach House,154,165.0909090909091,99,2022-01-02,2023-03-14,436,0.0,0.0
Beach Weather,207,117.30434782608695,53,2022-08-14,2023-04-10,239,0.0,0.0
Beba,1,150.0,150,2019-07-05,2019-07-05,0,0.0,0.0
Bebe Rexha,2066,98.21829622458857,1,2017-01-01,2023-05-29,2339,553.0,0.2676669893514037
Becky G,1771,85.52907961603614,5,2017-07-27,2023-05-29,2132,493.0,0.27837380011293056
Becky Hill,533,109.54033771106941,27,2019-10-18,2022-09-03,1051,113.0,0.21200750469043153
Bee Gees,3,146.66666666666666,119,2017-12-31,2019-01-01,366,0.0,0.0
Bejo,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
Belinda,110,144.05454545454546,93,2017-12-29,2018-04-19,111,0.0,0.0
Bella Poarch,131,72.32824427480917,20,2021-05-14,2021-10-03,142,72.0,0.549618320610687
Bellakath,61,131.2622950819672,55,2022-11-25,2023-01-29,65,0.0,0.0
Belly,12,114.58333333333333,38,2021-07-22,2021-08-31,40,1.0,0.08333333333333333
Benjamin Ingrosso,2,186.0,174,2018-05-13,2021-11-26,1293,0.0,0.0
Benson Boone,185,113.21081081081081,49,2021-10-24,2022-10-06,347,2.0,0.010810810810810811
Benzz,2,195.5,193,2022-05-25,2022-05-30,5,0.0,0.0
Beth Gibbons,5,81.6,29,2022-05-13,2022-05-17,4,1.0,0.2
Beyoncé,888,92.7286036036036,5,2017-01-29,2023-05-29,2311,289.0,0.32545045045045046
Beéle,137,152.76642335766422,93,2021-04-16,2023-05-29,773,0.0,0.0
Bianca,40,161.825,96,2022-07-01,2022-09-10,71,0.0,0.0
Big Lenbo,2,122.0,82,2017-05-05,2017-05-06,1,0.0,0.0
Big One,55,117.69090909090909,64,2023-03-11,2023-05-29,79,0.0,0.0
Big Red Machine,5,135.2,54,2021-07-02,2021-07-06,4,0.0,0.0
Big Sean,602,114.26744186046511,19,2017-01-01,2020-10-29,1397,85.0,0.14119601328903655
Big Shaq,131,95.55725190839695,28,2017-10-06,2018-02-24,141,51.0,0.3893129770992366
Bilal Wahib,1,182.0,182,2020-06-19,2020-06-19,0,0.0,0.0
Bill Withers,7,130.14285714285714,82,2020-04-03,2020-04-05,2,0.0,0.0
Billie Eilish,8614,96.00383097283492,1,2018-04-20,2023-05-29,1865,1943.0,0.2255630369166473
Billy Eichner,1,119.0,119,2019-07-12,2019-07-12,0,0.0,0.0
Billy Ray Cyrus,376,85.80053191489361,6,2019-07-12,2020-07-21,375,124.0,0.32978723404255317
Bing Crosby,291,103.35395189003437,10,2017-11-26,2022-12-26,1856,36.0,0.12371134020618557
Bipolar Sunshine,48,141.625,99,2017-01-01,2017-02-19,49,0.0,0.0
Bizarrap,1243,72.40386162510056,1,2019-08-16,2023-05-29,1382,567.0,0.4561544650040225
Black Coffee,44,100.25,11,2017-03-19,2017-05-01,43,12.0,0.2727272727272727
Black Eyed Peas,771,77.81971465629053,6,2019-10-15,2023-01-01,1174,309.0,0.40077821011673154
Black Thought,2,122.0,82,2017-05-05,2017-05-06,1,0.0,0.0
Blake Shelton,42,115.69047619047619,38,2021-12-21,2022-12-26,370,6.0,0.14285714285714285
Blanche,2,149.0,137,2017-05-14,2017-05-15,1,0.0,0.0
Blanco Brown,117,120.3931623931624,61,2019-06-17,2019-10-20,125,0.0,0.0
Blessd,237,88.75105485232068,43,2021-11-18,2023-05-29,557,28.0,0.11814345991561181
Blind Channel,6,109.66666666666667,62,2021-05-23,2021-05-28,5,0.0,0.0
BlocBoy JB,392,86.23214285714286,6,2018-02-09,2019-03-13,397,149.0,0.38010204081632654
BloodPop®,102,84.88235294117646,31,2018-01-18,2018-05-03,105,37.0,0.3627450980392157
Blue Ivy,14,136.64285714285714,69,2019-07-19,2019-08-01,13,0.0,0.0
Blue Öyster Cult,3,136.66666666666666,119,2017-10-31,2020-10-31,1096,0.0,0.0
Blueface,130,87.73076923076923,22,2019-01-25,2019-08-13,200,51.0,0.3923076923076923
Blxst,159,112.05660377358491,4,2021-07-26,2022-07-01,340,14.0,0.0880503144654088
Bo Burnham,61,145.1639344262295,78,2021-06-14,2021-08-23,70,0.0,0.0
"Bobby ""Boris"" Pickett",11,105.54545454545455,30,2017-10-31,2022-11-01,1827,2.0,0.18181818181818182
Bobby Helms,210,42.30952380952381,4,2017-12-18,2022-12-27,1835,152.0,0.7238095238095238
Bobby Shmurda,60,105.43333333333334,14,2018-10-05,2021-02-24,873,15.0,0.25
Boef,9,181.11111111111111,159,2017-03-20,2020-07-03,1201,0.0,0.0
Bomba Estéreo,443,56.53047404063206,2,2018-04-07,2023-05-29,1878,240.0,0.5417607223476298
Bon Iver,2,176.0,152,2017-02-14,2019-08-09,906,0.0,0.0
Boney M.,173,86.52601156069365,35,2017-12-23,2022-12-25,1828,51.0,0.2947976878612717
Bonez MC,187,143.57754010695186,58,2017-07-18,2022-09-02,1872,0.0,0.0
Bonnie Tyler,1,173.0,173,2017-08-21,2017-08-21,0,0.0,0.0
Booba,16,161.4375,82,2017-12-01,2021-03-08,1193,0.0,0.0
Boomdabash,7,180.14285714285714,162,2020-06-27,2020-07-05,8,0.0,0.0
Bootie Brown,11,116.63636363636364,47,2022-09-01,2022-09-12,11,1.0,0.09090909090909091
Boris Karloff,1,149.0,149,2022-12-25,2022-12-25,0,0.0,0.0
Bosh,19,134.8421052631579,98,2020-06-09,2020-06-27,18,0.0,0.0
BoyWithUke,267,79.25093632958801,19,2021-10-17,2022-07-26,282,114.0,0.42696629213483145
Boza,254,79.42125984251969,14,2020-11-26,2022-03-12,471,110.0,0.4330708661417323
Bozza,9,125.0,76,2020-06-19,2020-07-03,14,0.0,0.0
Bradley Cooper,1288,87.7360248447205,2,2018-09-28,2023-01-19,1574,354.0,0.2748447204968944
Brandi Carlile,4,140.0,66,2023-03-10,2023-03-13,3,0.0,0.0
Brando,72,79.0,20,2018-05-24,2018-08-06,74,28.0,0.3888888888888889
Brandy,1,133.0,133,2019-06-28,2019-06-28,0,0.0,0.0
Brenda Lee,244,48.278688524590166,2,2017-11-24,2022-12-27,1859,160.0,0.6557377049180327
Brent Faiyaz,35,119.37142857142857,31,2020-02-26,2022-07-10,865,4.0,0.11428571428571428
Brett Eldredge,118,132.40677966101694,33,2018-12-01,2022-12-25,1485,8.0,0.06779661016949153
Bright Sparks,4,164.0,109,2017-01-13,2017-01-19,6,0.0,0.0
Bring Me The Horizon,60,134.43333333333334,31,2018-08-22,2023-05-05,1717,3.0,0.05
Brisa Star,11,152.0,122,2021-07-24,2021-08-28,35,0.0,0.0
Britney Spears,212,106.41037735849056,14,2017-12-09,2022-12-31,1848,41.0,0.19339622641509435
Brooks,191,93.01570680628272,24,2018-02-23,2019-03-15,385,73.0,0.38219895287958117
Brray,504,79.22817460317461,12,2020-05-16,2023-04-11,1060,186.0,0.36904761904761907
Bruce Springsteen,59,122.35593220338983,35,2017-12-23,2022-12-26,1829,7.0,0.11864406779661017
Bruno & Marrone,54,125.88888888888889,71,2021-01-23,2021-05-16,113,0.0,0.0
Bruno Major,8,187.875,173,2021-11-09,2022-01-17,69,0.0,0.0
Bruno Mars,3415,108.91303074670572,4,2017-01-01,2023-05-29,2339,752.0,0.22020497803806735
Bruno Martini,231,98.42424242424242,26,2017-01-01,2017-08-26,237,60.0,0.2597402597402597
Bryan Adams,6,99.66666666666667,83,2017-12-24,2022-12-24,1826,0.0,0.0
Bryant Myers,172,149.59883720930233,82,2018-10-11,2021-04-11,913,0.0,0.0
Bryce Vine,46,138.65217391304347,104,2018-08-27,2018-10-11,45,0.0,0.0
Bryson Tiller,47,153.5531914893617,41,2017-01-02,2023-02-14,2234,1.0,0.02127659574468085
Brytiago,481,102.23908523908524,22,2018-05-24,2019-10-19,513,83.0,0.17255717255717257
Burak Yeter,199,100.45226130653266,53,2017-02-11,2017-12-31,323,0.0,0.0
Burl Ives,186,100.27956989247312,13,2017-12-02,2022-12-26,1850,28.0,0.15053763440860216
Burna Boy,204,112.11274509803921,52,2019-10-18,2022-11-22,1131,0.0,0.0
Buscabulla,142,83.40140845070422,21,2022-05-06,2022-09-30,147,21.0,0.14788732394366197
Bushido,14,135.28571428571428,57,2018-07-06,2019-09-24,445,0.0,0.0
Busta Rhymes,1,115.0,115,2020-10-30,2020-10-30,0,0.0,0.0
Bvga Beatz,6,177.16666666666666,149,2023-05-19,2023-05-29,10,0.0,0.0
BØRNS,198,133.81313131313132,60,2020-07-31,2021-04-07,250,0.0,0.0
C. Tanganana,212,128.41509433962264,31,2017-07-08,2022-05-23,1780,6.0,0.02830188679245283
CHVRCHES,208,82.54326923076923,11,2018-02-02,2019-10-16,621,88.0,0.4230769230769231
CJ,255,65.69803921568628,8,2020-10-25,2021-07-12,260,133.0,0.5215686274509804
CKay,502,70.48406374501992,9,2021-09-13,2022-06-25,285,239.0,0.4760956175298805
CMC$,54,122.25925925925925,93,2017-01-02,2017-02-25,54,0.0,0.0
CNCO,649,97.9322033898305,30,2017-01-01,2018-03-29,452,69.0,0.10631741140215717
CORPSE,44,169.86363636363637,115,2020-10-22,2022-04-08,533,0.0,0.0
CRO,9,145.11111111111111,81,2020-08-21,2021-04-30,252,0.0,0.0
Calboy,120,137.76666666666668,88,2019-02-24,2019-06-27,123,0.0,0.0
Calcutta,1,187.0,187,2021-11-19,2021-11-19,0,0.0,0.0
Cali Y El Dandee,107,184.85046728971963,151,2017-01-28,2020-11-14,1386,0.0,0.0
Calibre 50,60,160.25,71,2021-09-05,2022-01-09,126,0.0,0.0
Callejero Fino,5,179.8,156,2023-03-11,2023-04-22,42,0.0,0.0
