id,Best_Rank,Avg_Rank,Rank_Std,Chart_Weeks,Total_Points,Avg_Points,Title,Artists,First_Date,Last_Date,Chart_Longevity_Days,Peak_Performance,Consistency,Top10_Weeks,Top50_Weeks,Performance_Category,Top10_Rate,Top50_Rate,Worst_Rank,Rank_Range,Volatility_Score,Points_Per_Week,Dominance_Score,Consistency_Score,First_Week_Rank,Last_Week_Rank,Rank_Trajectory,Weeks_To_Peak,Performance_Cluster,Performance_Cluster_Name
00imgaPlYRrMGn9o83hfmk,44,111.66666666666667,63.90878917123476,3,268,89.33333333333333,LOOSE CHANGE,Brent Faiyaz,2022-07-08,2022-07-10,2,157,0.01540623408275137,0.0,0.0,Volatile,0.0,0.0,171,127,0.5723175149662814,89.33333333333333,217.64821469582282,0.01540623408275137,44,171,-127,1.5,1,Strong Performer
00ko9WaS4jOX1kEk3gvHjf,45,153.9142857142857,44.736002169504296,105,4944,47.08571428571429,Hot Shower,"Chance the Rapper, MadeinTYO, DaBaby",2019-07-26,2019-11-21,118,156,0.02186461327104748,0.0,0.0,Strong Performer,0.0,0.0,200,155,0.2906552953281326,47.08571428571429,727.4964986814824,0.02186461327104748,105,192,-87,52.5,1,Strong Performer
00lNx0OcTJrS3MKHcB80HY,17,87.28985507246377,51.606661389173524,414,47076,113.71014492753623,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",2017-01-09,2017-12-31,356,184,0.0190089994991737,0.0,0.0,Strong Performer,0.0,0.0,193,176,0.5912102998261619,113.71014492753623,1109.2032477224484,0.0190089994991737,178,122,56,207.0,3,Volatile Performer
00mrTzjxIRuWJY01sRBJmO,108,108.0,,1,93,93.0,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,2018-10-03,2018-10-03,0,93,,0.0,0.0,One-Week Wonder,0.0,0.0,108,0,,93.0,64.46268779207492,,108,108,0,0.5,0,Mid-Chart Mainstay
00v5O7qsglyTtp2q1M9DZr,72,72.0,,1,129,129.0,Pray You Catch Me,Beyoncé,2019-04-23,2019-04-23,0,129,,0.0,0.0,One-Week Wonder,0.0,0.0,72,0,,129.0,89.41598629223294,,72,72,0,0.5,1,Strong Performer
00zzSEe82JTtz68XlARnh7,154,182.66666666666666,14.822178304721941,12,220,18.333333333333332,Amor Falso,Aldair Playboy,2018-05-19,2018-06-17,29,47,0.06320242262100927,0.0,0.0,Moderate Performer,0.0,0.0,200,46,0.08114331188716392,18.333333333333332,120.55261980069223,0.06320242262100927,184,196,-12,6.0,0,Mid-Chart Mainstay
011ZwIM48eD8ee2UBpG8nK,145,151.0,8.48528137423857,2,100,50.0,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",Childish Gambino,2020-03-22,2020-03-23,1,56,0.10542649822871226,0.0,0.0,Moderate Performer,0.0,0.0,157,12,0.05619391638568589,50.0,61.522288165414146,0.10542649822871226,145,157,-12,1.0,0,Mid-Chart Mainstay
017PF4Q3l4DBUiWoXk4OWT,6,86.54304635761589,58.51341292788424,453,51849,114.45695364238411,Break My Heart,Dua Lipa,2020-03-27,2021-07-08,468,195,0.01680293484784273,0.0,0.0,Chart Dominator,0.0,0.0,200,194,0.6761191729499939,114.45695364238411,1193.0289536180628,0.01680293484784273,6,194,-188,226.5,3,Volatile Performer
01BCvCKQNDmFQQQSjrzPnm,184,184.0,,1,17,17.0,GHIGLIOTTI - feat. Noyz rcos,Salmo,2021-10-01,2021-10-01,0,17,,0.0,0.0,One-Week Wonder,0.0,0.0,184,0,,17.0,11.78350206951907,,184,184,0,0.5,0,Mid-Chart Mainstay
01DOm09B2AbiTARAbXVI6g,77,124.5,28.82076271781099,12,918,76.5,CHopstix (with Travis Scott),ScHoolboy Q,2019-04-09,2019-04-20,11,124,0.033533682872662805,0.0,0.0,Moderate Performer,0.0,0.0,188,111,0.23149207002257824,76.5,318.05372032523053,0.033533682872662805,119,188,-69,6.0,1,Strong Performer
01GmGxOPy22EdAZGC0X6q1,126,126.0,,1,75,75.0,We Go High,Chance the Rapper,2019-07-27,2019-07-27,0,75,,0.0,0.0,One-Week Wonder,0.0,0.0,126,0,,75.0,51.986038541995896,,126,126,0,0.5,0,Mid-Chart Mainstay
01I9AEz658sQnQzCL3K3QG,141,141.0,,1,60,60.0,HOES UP G'S DOWN,Shirin David,2020-05-29,2020-05-29,0,60,,0.0,0.0,One-Week Wonder,0.0,0.0,141,0,,60.0,41.58883083359672,,141,141,0,0.5,0,Mid-Chart Mainstay
01JMnRUs2YOK6DDpdQASGY,119,119.0,,1,82,82.0,Grace (feat. 42 Dugg),Lil Baby,2020-02-28,2020-02-28,0,82,,0.0,0.0,One-Week Wonder,0.0,0.0,119,0,,82.0,56.83806880591551,,119,119,0,0.5,0,Mid-Chart Mainstay
01K4zKU104LyJ8gMb7227B,20,79.1875,55.80468170324062,16,1949,121.8125,Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Taylor Swift,2021-11-12,2021-11-30,18,181,0.01760418278944342,0.0,0.0,Strong Performer,0.0,0.0,199,179,0.7047157910432912,121.8125,512.8116152741751,0.01760418278944342,20,199,-179,8.0,1,Strong Performer
01Qb6dN5suQNu87VJ1mIpf,130,157.75,20.387904911164043,16,692,43.25,Did It Again,Lil Tecca,2019-08-13,2019-08-29,16,71,0.0467553976957332,0.0,0.0,Moderate Performer,0.0,0.0,197,67,0.12924186948439964,43.25,201.15814742799134,0.0467553976957332,197,130,67,8.0,0,Mid-Chart Mainstay
01QdEx6kFr78ZejhQtWR5m,79,123.5,62.932503525602726,2,155,77.5,Forever & Always (Piano Version) (Taylor's Version),Taylor Swift,2021-04-09,2021-04-10,1,122,0.015641496028691183,0.0,0.0,Volatile,0.0,0.0,168,89,0.5095749273328156,77.5,134.03069921750938,0.015641496028691183,79,168,-89,1.0,1,Strong Performer
01QhKtUc12FGw2wX7dMYvv,121,121.0,,1,80,80.0,LOCO - English Ver.,ITZY,2021-09-24,2021-09-24,0,80,,0.0,0.0,One-Week Wonder,0.0,0.0,121,0,,80.0,55.451774444795625,,121,121,0,0.5,0,Mid-Chart Mainstay
01TnVDiet1DFTsyWKUKovl,15,126.33870967741936,56.80162302818155,62,4629,74.66129032258064,NUMB,XXXTENTACION,2018-03-16,2018-08-02,139,186,0.01730055226152462,0.0,0.0,Strong Performer,0.0,0.0,200,185,0.4495979353692399,74.66129032258064,770.623059108825,0.01730055226152462,42,195,-153,31.0,1,Strong Performer
01VvADRZqvXrHfwAKUOS8v,188,188.0,0.0,2,26,13.0,Peek A Boo,"Lil Yachty, Migos",2017-05-26,2017-05-26,0,13,1.0,0.0,0.0,Moderate Performer,0.0,0.0,188,0,0.0,13.0,14.281959752685427,1.0,188,188,0,1.0,2,Lower-Chart Resident
